Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,105.339996,105.389999,104.029999,104.07,5189400,90.954421
2009-12-30,104.93,105.330002,104.879997,105.220001,3243500,91.959492
2009-12-29,105.489998,105.639999,105.25,105.290001,3356400,92.020669
2009-12-28,105.199997,105.349998,104.889999,105.290001,8116800,92.020669
2009-12-24,104.57,105.040001,104.550003,105.00,3568000,91.767216
2009-12-23,104.650002,104.720001,104.169998,104.449997,4867200,91.286528
2009-12-22,104.220001,104.610001,104.050003,104.449997,6849400,91.286528
2009-12-21,103.559998,104.389999,103.519997,103.879997,5968000,90.788364
2009-12-18,103.449997,103.639999,102.43,103.139999,8299800,90.141625
2009-12-17,104.040001,104.150002,103.290001,103.379997,8223700,90.001786
2009-12-16,105.089996,105.309998,104.470001,104.669998,6283400,91.12485
2009-12-15,104.910004,105.150002,104.470001,104.739998,7191500,91.185792
2009-12-14,105.32,105.379997,104.919998,105.199997,9752400,91.586263
2009-12-11,104.510002,105.040001,104.25,104.919998,9235500,91.342498
2009-12-10,103.989998,104.620003,103.949997,104.18,8039500,90.698262
2009-12-09,102.959999,103.559998,102.480003,103.449997,8583800,90.062727
2009-12-08,103.419998,103.440002,101.75,102.940002,10719700,89.61873
2009-12-07,103.830002,104.529999,103.690002,104.050003,8189500,90.585088
2009-12-04,104.959999,105.269997,103.199997,103.989998,16602800,90.532848
2009-12-03,104.849998,105.18,103.589996,103.690002,9723500,90.271674
2009-12-02,104.739998,105.25,104.32,104.580002,7124600,91.0465
2009-12-01,104.279999,105.129997,104.269997,104.730003,10101300,91.17709
2009-11-30,103.110001,103.739998,102.709999,103.580002,11959000,90.175908
2009-11-27,102.459999,103.839996,102.230003,103.18,12916100,89.82767
2009-11-25,104.540001,104.839996,104.199997,104.629997,6489600,91.090026
2009-11-24,104.440002,104.559998,103.589996,104.360001,10211800,90.854969
2009-11-23,104.199997,104.980003,104.129997,104.459999,9489200,90.942027
2009-11-20,102.919998,103.449997,102.720001,103.25,8680400,89.888611
2009-11-19,104.040001,104.07,102.870003,103.650002,12739500,89.94259
2009-11-18,104.50,104.620003,103.910004,104.550003,7773400,90.723569
2009-11-17,104.089996,104.639999,103.860001,104.589996,8398000,90.758274
2009-11-16,103.400002,104.57,103.349998,104.260002,10497400,90.47192
2009-11-13,102.349998,103.25,102.099998,102.910004,11677800,89.300455
2009-11-12,102.959999,103.410004,101.900002,102.169998,11966800,88.658313
2009-11-11,103.110001,103.620003,102.639999,103.129997,10532400,89.491355
2009-11-10,102.269997,102.800003,102.150002,102.690002,9959100,89.109548
2009-11-09,101.07,102.440002,100.910004,102.419998,10959900,88.875251
2009-11-06,99.650002,100.599998,99.43,100.370003,10786100,87.096362
2009-11-05,98.860001,100.230003,98.809998,100.160004,9811600,86.914135
2009-11-04,98.379997,99.379997,97.940002,98.169998,14714300,85.187302
2009-11-03,97.260002,97.93,97.07,97.800003,13945600,84.866237
2009-11-02,97.400002,99.00,96.82,97.849998,20615900,84.909621
2009-10-30,99.349998,99.639999,96.870003,97.059998,29751800,84.224095
2009-10-29,98.339996,99.739998,98.050003,99.540001,12927200,86.376125
2009-10-28,98.620003,99.07,97.620003,97.68,17191500,84.762104
2009-10-27,98.949997,99.529999,98.400002,98.82,14503800,85.751342
2009-10-26,99.900002,100.769997,98.519997,98.809998,16109800,85.742663
2009-10-23,100.980003,101.07,99.370003,99.830002,13214000,86.627775
2009-10-22,99.620003,101.089996,99.199997,100.739998,13423200,87.417426
2009-10-21,100.220001,101.199997,99.410004,99.43,12893600,86.280672
2009-10-20,100.970001,101.010002,99.900002,100.389999,9387400,87.113714
2009-10-19,100.110001,101.169998,99.93,100.860001,9772400,87.521559
2009-10-16,99.739998,100.209999,99.370003,99.989998,13185400,86.766612
2009-10-15,99.870003,100.669998,99.839996,100.650002,7667900,87.25776
2009-10-14,99.769997,100.360001,99.43,100.230003,9162700,86.893646
2009-10-13,98.639999,99.019997,98.220001,98.830002,6026200,85.679925
2009-10-12,99.00,99.389999,98.559998,98.940002,5438300,85.77529
2009-10-09,97.870003,98.720001,97.690002,98.690002,6494100,85.558554
2009-10-08,97.940002,98.449997,97.540001,97.910004,9701300,84.88234
2009-10-07,97.129997,97.480003,96.830002,97.279999,10039900,84.336162
2009-10-06,96.580002,97.769997,96.559998,97.290001,12439600,84.344833
2009-10-05,95.07,96.279999,94.800003,95.970001,8742700,83.200469
2009-10-02,94.220001,95.269997,94.199997,94.860001,15752800,82.238163
2009-10-01,96.919998,96.940002,95.010002,95.120003,15473500,82.46357
2009-09-30,97.620003,97.790001,96.07,97.089996,15351500,84.171441
2009-09-29,97.949997,98.360001,97.389999,97.440002,8171200,84.474876
2009-09-28,97.010002,98.239998,96.949997,97.839996,6393200,84.821648
2009-09-25,96.879997,97.349998,96.379997,96.739998,13350100,83.868012
2009-09-24,97.75,98.019997,96.620003,96.989998,16702600,84.084748
2009-09-23,98.360001,99.160004,97.400002,97.580002,13199100,84.596247
2009-09-22,98.309998,98.419998,97.690002,98.209999,8206300,85.142419
2009-09-21,97.559998,98.040001,97.230003,97.739998,7711800,84.734955
2009-09-18,98.339996,98.459999,97.919998,98.110001,9910900,85.055726
2009-09-17,97.970001,98.720001,97.639999,98.059998,15803800,84.860662
2009-09-16,97.32,98.150002,96.940002,98.080002,10580800,84.877973
2009-09-15,96.50,97.309998,95.959999,96.900002,11687700,83.856807
2009-09-14,95.440002,96.449997,95.400002,96.32,8417900,83.354876
2009-09-11,96.370003,96.629997,95.860001,96.220001,8116500,83.268338
2009-09-10,95.57,96.459999,95.190002,96.339996,12244800,83.372181
2009-09-09,95.089996,95.910004,94.870003,95.529999,13560500,82.671213
2009-09-08,95.199997,95.220001,94.620003,95.059998,10862500,82.264476
2009-09-04,93.57,94.57,93.300003,94.449997,8118600,81.736584
